Processing file: retail.txt, Run: 1
Pattern: [49, 14099] count: 45
Pattern: [68, 69] count: 45
Pattern: [202, 879] count: 45
Pattern: [236, 2469] count: 45
Pattern: [238, 534] count: 45
Pattern: [311, 1328] count: 45
Pattern: [476, 523] count: 45
Pattern: [548, 1002] count: 45
Pattern: [969, 2507] count: 45
Pattern: [1081, 1381] count: 45
Pattern: [1596, 2053] count: 45
Pattern: [3060, 5503] count: 45
Pattern: [10421, 10491] count: 45
Pattern: [13042, 15579] count: 45
Pattern: [33, 678] count: 44
Pattern: [33, 1147] count: 44
Pattern: [37, 226] count: 44
Pattern: [42, 209] count: 44
Pattern: [42, 16011] count: 44
Pattern: [49, 767] count: 44
Pattern: [148, 414] count: 44
Pattern: [1869, 4834] count: 44
Pattern: [2057, 5159] count: 44
Pattern: [2364, 2365] count: 44
Pattern: [4607, 4608] count: 44
Pattern: [7206, 16218] count: 44
Pattern: [10421, 10526] count: 44
Pattern: [10, 42] count: 43
Pattern: [33, 111] count: 43
Pattern: [40, 214] count: 43
Pattern: [61, 311] count: 43
Pattern: [77, 491] count: 43
Pattern: [90, 14099] count: 43
Pattern: [665, 1328] count: 43
Pattern: [772, 4541] count: 43
Pattern: [818, 2597] count: 43
Pattern: [852, 2988] count: 43
Pattern: [1480, 1482] count: 43
Pattern: [2326, 2977] count: 43
Pattern: [10441, 10442] count: 43
Pattern: [10481, 10933] count: 43
Pattern: [10861, 11693] count: 43
Pattern: [32, 238] count: 42
Pattern: [40, 593] count: 42
Pattern: [42, 287] count: 42
Pattern: [66, 465] count: 42
Pattern: [148, 476] count: 42
Pattern: [313, 554] count: 42
Pattern: [332, 449] count: 42
Pattern: [358, 793] count: 42
Pattern: [549, 611] count: 42
Pattern: [550, 962] count: 42
Pattern: [592, 678] count: 42
Pattern: [807, 1356] count: 42
Pattern: [1159, 2966] count: 42
Pattern: [1334, 1362] count: 42
Pattern: [1487, 4699] count: 42
Pattern: [1873, 2857] count: 42
Pattern: [2239, 5730] count: 42
Pattern: [5283, 15833] count: 42
Pattern: [12926, 14099] count: 42
Pattern: [33, 534] count: 41
Pattern: [33, 3271] count: 41
Pattern: [37, 49] count: 41
Pattern: [40, 1784] count: 41
Pattern: [42, 414] count: 41
Pattern: [49, 1394] count: 41
Pattern: [102, 238] count: 41
Pattern: [273, 590] count: 41
Pattern: [306, 3257] count: 41
Pattern: [311, 605] count: 41
Pattern: [408, 3800] count: 41
Pattern: [1617, 1702] count: 41
Pattern: [4038, 4270] count: 41
Pattern: [40, 339] count: 40
Pattern: [49, 523] count: 40
Pattern: [49, 13042] count: 40
Pattern: [79, 90] count: 40
Pattern: [167, 683] count: 40
Pattern: [202, 957] count: 40
Pattern: [226, 238] count: 40
Pattern: [409, 419] count: 40
Pattern: [773, 790] count: 40
Pattern: [1053, 2438] count: 40
Pattern: [3162, 3610] count: 40
Pattern: [3403, 3536] count: 40
Pattern: [5148, 6357] count: 40
Pattern: [10, 421] count: 39
Pattern: [40, 1345] count: 39
Pattern: [42, 825] count: 39
Pattern: [50, 476] count: 39
Pattern: [66, 605] count: 39
Pattern: [97, 1900] count: 39
Pattern: [491, 1240] count: 39
Pattern: [582, 15833] count: 39
Pattern: [1234, 1766] count: 39
Pattern: [1409, 3016] count: 39
Pattern: [1521, 2852] count: 39
Pattern: [1617, 3503] count: 39
Pattern: [2376, 3405] count: 39
Pattern: [32, 49] count: 38
Pattern: [33, 1579] count: 38
Pattern: [37, 238] count: 38
Pattern: [40, 1987] count: 38
Pattern: [40, 13190] count: 38
Pattern: [49, 80] count: 38
Pattern: [186, 414] count: 38
Pattern: [245, 1309] count: 38
Pattern: [259, 650] count: 38
Pattern: [320, 6191] count: 38
Pattern: [434, 1199] count: 38
Pattern: [744, 2652] count: 38
Pattern: [912, 4071] count: 38
Pattern: [1379, 1381] count: 38
Pattern: [1487, 1678] count: 38
Pattern: [1595, 2209] count: 38
Pattern: [1988, 2136] count: 38
Pattern: [2287, 2969] count: 38
Pattern: [3319, 3321] count: 38
Pattern: [9502, 10492] count: 38
Pattern: [3, 40] count: 37
Pattern: [39, 3855] count: 37
Pattern: [40, 16011] count: 37
Pattern: [42, 272] count: 37
Pattern: [46, 682] count: 37
Pattern: [49, 1579] count: 37
Pattern: [49, 15619] count: 37
Pattern: [102, 476] count: 37
Pattern: [148, 238] count: 37
Pattern: [176, 179] count: 37
Pattern: [280, 339] count: 37
Pattern: [339, 2384] count: 37
Pattern: [414, 16218] count: 37
Pattern: [590, 605] count: 37
Pattern: [676, 980] count: 37
Pattern: [816, 3029] count: 37
Pattern: [821, 2589] count: 37
Pattern: [2185, 2189] count: 37
Pattern: [3161, 5109] count: 37
Pattern: [4745, 5340] count: 37
Pattern: [10, 302] count: 36
Pattern: [19, 40] count: 36
Pattern: [33, 665] count: 36
Pattern: [49, 571] count: 36
Pattern: [66, 14099] count: 36
Pattern: [201, 9502] count: 36
Pattern: [202, 4144] count: 36
Pattern: [298, 1445] count: 36
Pattern: [476, 534] count: 36
Pattern: [548, 5075] count: 36
Pattern: [549, 1068] count: 36
Pattern: [612, 2012] count: 36
Pattern: [741, 794] count: 36
Pattern: [866, 10556] count: 36
Pattern: [1096, 2049] count: 36
Pattern: [1570, 3411] count: 36
Pattern: [1740, 1873] count: 36
Pattern: [2542, 3084] count: 36
Pattern: [2777, 3689] count: 36
Pattern: [3008, 3339] count: 36
Pattern: [33, 50] count: 35
Pattern: [33, 13042] count: 35
Pattern: [40, 390] count: 35
Pattern: [40, 813] count: 35
Pattern: [40, 12930] count: 35
Pattern: [42, 605] count: 35
Pattern: [49, 302] count: 35
Pattern: [49, 1345] count: 35
Pattern: [66, 523] count: 35
Pattern: [90, 12926] count: 35
Pattern: [207, 536] count: 35
Pattern: [311, 1147] count: 35
Pattern: [678, 1005] count: 35
Pattern: [782, 6344] count: 35
Pattern: [1114, 1809] count: 35
Pattern: [1528, 1544] count: 35
Pattern: [2670, 3013] count: 35
Pattern: [3207, 6106] count: 35
Pattern: [10499, 10500] count: 35
Pattern: [33, 590] count: 34
Pattern: [33, 769] count: 34
Pattern: [42, 61] count: 34
Pattern: [49, 180] count: 34
Pattern: [81, 4308] count: 34
Pattern: [90, 1328] count: 34
Pattern: [118, 551] count: 34
Pattern: [137, 962] count: 34
Pattern: [157, 1815] count: 34
Pattern: [249, 380] count: 34
Pattern: [252, 450] count: 34
Pattern: [268, 380] count: 34
Pattern: [275, 695] count: 34
Pattern: [302, 1436] count: 34
Pattern: [310, 1270] count: 34
Pattern: [316, 985] count: 34
Pattern: [549, 2438] count: 34
Pattern: [598, 802] count: 34
Pattern: [691, 2414] count: 34
Pattern: [704, 908] count: 34
Pattern: [1108, 3047] count: 34
Pattern: [1482, 2664] count: 34
Pattern: [1872, 2014] count: 34
Pattern: [2169, 5491] count: 34
Pattern: [2406, 9232] count: 34
Pattern: [2853, 2854] count: 34
Pattern: [2995, 3736] count: 34
Pattern: [3996, 5701] count: 34
Pattern: [4975, 6267] count: 34
Pattern: [14934, 14954] count: 34
Pattern: [40, 1601] count: 33
Pattern: [40, 15619] count: 33
Pattern: [42, 545] count: 33
Pattern: [66, 784] count: 33
Pattern: [95, 977] count: 33
Pattern: [102, 917] count: 33
Pattern: [124, 148] count: 33
Pattern: [124, 439] count: 33
Pattern: [162, 335] count: 33
Pattern: [226, 476] count: 33
Pattern: [784, 4337] count: 33
Pattern: [979, 1394] count: 33
Pattern: [1097, 2516] count: 33
Pattern: [1220, 4434] count: 33
Pattern: [1787, 3828] count: 33
Pattern: [3059, 6077] count: 33
Pattern: [3691, 5473] count: 33
Pattern: [4974, 5783] count: 33
Pattern: [14099, 14100] count: 33
Pattern: [14914, 14955] count: 33
Pattern: [6, 427] count: 32
Pattern: [10, 311] count: 32
Pattern: [33, 230] count: 32
Pattern: [33, 390] count: 32
Pattern: [33, 605] count: 32
Pattern: [40, 270] count: 32
Pattern: [40, 665] count: 32
Pattern: [40, 1660] count: 32
Pattern: [42, 1579] count: 32
Pattern: [49, 250] count: 32
Pattern: [66, 230] count: 32
Pattern: [102, 678] count: 32
Pattern: [162, 439] count: 32
Pattern: [180, 259] count: 32
Pattern: [186, 825] count: 32
Pattern: [568, 698] count: 32
Pattern: [624, 1769] count: 32
Pattern: [802, 1144] count: 32
Pattern: [1005, 2330] count: 32
Pattern: [1199, 2441] count: 32
Pattern: [1295, 3684] count: 32
Pattern: [1394, 2959] count: 32
Pattern: [1476, 1539] count: 32
Pattern: [2626, 4754] count: 32
Pattern: [3150, 12936] count: 32
Pattern: [3452, 7976] count: 32
Pattern: [20, 409] count: 31
Pattern: [40, 767] count: 31
Pattern: [40, 957] count: 31
Pattern: [46, 49] count: 31
Pattern: [48, 2379] count: 31
Pattern: [49, 15833] count: 31
Pattern: [77, 14099] count: 31
Pattern: [80, 272] count: 31
Pattern: [90, 157] count: 31
Pattern: [90, 13042] count: 31
Pattern: [148, 230] count: 31
Pattern: [165, 167] count: 31
Pattern: [171, 439] count: 31
Pattern: [177, 3152] count: 31
Pattern: [349, 1860] count: 31
Pattern: [424, 7069] count: 31
Pattern: [596, 4364] count: 31
Pattern: [605, 1122] count: 31
Pattern: [809, 16156] count: 31
Pattern: [988, 1001] count: 31
Pattern: [1991, 2553] count: 31
Pattern: [2055, 4033] count: 31
Pattern: [2242, 4071] count: 31
Pattern: [2750, 3989] count: 31
Pattern: [3664, 3665] count: 31
Pattern: [32, 40] count: 30
Pattern: [33, 825] count: 30
Pattern: [33, 1345] count: 30
Pattern: [38, 439] count: 30
Pattern: [40, 571] count: 30
Pattern: [40, 1992] count: 30
Pattern: [42, 50] count: 30
Pattern: [42, 79] count: 30
Pattern: [42, 124] count: 30
Pattern: [49, 104] count: 30
Pattern: [49, 705] count: 30
Pattern: [49, 1147] count: 30
Pattern: [66, 186] count: 30
Pattern: [98, 1467] count: 30
Pattern: [238, 270] count: 30
Pattern: [238, 1394] count: 30
Pattern: [260, 879] count: 30
Pattern: [376, 415] count: 30
Pattern: [396, 10754] count: 30
Pattern: [398, 399] count: 30
Pattern: [408, 515] count: 30
Pattern: [537, 4112] count: 30
Pattern: [843, 1027] count: 30
Pattern: [1638, 2106] count: 30
Pattern: [2062, 3020] count: 30
Pattern: [9587, 11155] count: 30
Pattern: [10, 534] count: 29
Pattern: [10, 650] count: 29
Pattern: [20, 3362] count: 29
Pattern: [33, 162] count: 29
Pattern: [33, 14099] count: 29
Pattern: [42, 265] count: 29
Pattern: [46, 534] count: 29
Pattern: [49, 406] count: 29
Pattern: [49, 480] count: 29
Pattern: [49, 665] count: 29
Pattern: [80, 271] count: 29
Pattern: [80, 476] count: 29
Pattern: [90, 202] count: 29
Pattern: [111, 287] count: 29
Pattern: [111, 1328] count: 29
Pattern: [124, 311] count: 29
Pattern: [137, 12678] count: 29
Pattern: [137, 549] count: 29
Pattern: [205, 1678] count: 29
Pattern: [226, 1147] count: 29
Pattern: [226, 4900] count: 29
Pattern: [243, 12926] count: 29
Pattern: [256, 311] count: 29
Pattern: [259, 1005] count: 29
Pattern: [262, 3858] count: 29
Pattern: [302, 480] count: 29
Pattern: [476, 571] count: 29
Pattern: [491, 572] count: 29
Pattern: [536, 917] count: 29
Pattern: [550, 1068] count: 29
Pattern: [676, 2260] count: 29
Pattern: [685, 699] count: 29
Pattern: [784, 1764] count: 29
Pattern: [1144, 2475] count: 29
Pattern: [1388, 2376] count: 29
Pattern: [1716, 3187] count: 29
Pattern: [1746, 2963] count: 29
Pattern: [2012, 2438] count: 29
Pattern: [2351, 2525] count: 29
Pattern: [4962, 11748] count: 29
Pattern: [5195, 5231] count: 29
Pattern: [7206, 10511] count: 29
Pattern: [15161, 15206] count: 29
Pattern: [11, 40] count: 28
Pattern: [33, 2959] count: 28
Pattern: [40, 261] count: 28
Pattern: [40, 904] count: 28
Pattern: [40, 10447] count: 28
Pattern: [42, 202] count: 28
Pattern: [66, 124] count: 28
Pattern: [66, 825] count: 28
Pattern: [77, 577] count: 28
Pattern: [90, 171] count: 28
Pattern: [90, 186] count: 28
Pattern: [102, 14099] count: 28
Pattern: [160, 3203] count: 28
Pattern: [228, 549] count: 28
Pattern: [238, 397] count: 28
Pattern: [243, 335] count: 28
Pattern: [309, 1380] count: 28
Pattern: [311, 414] count: 28
Pattern: [339, 678] count: 28
Pattern: [448, 5406] count: 28
Pattern: [468, 3350] count: 28
Pattern: [489, 2880] count: 28
Pattern: [590, 1334] count: 28
Pattern: [649, 3081] count: 28
Pattern: [650, 957] count: 28
Pattern: [665, 12926] count: 28
Pattern: [810, 16218] count: 28
Pattern: [829, 3001] count: 28
Pattern: [917, 1394] count: 28
Pattern: [928, 5318] count: 28
Pattern: [980, 1394] count: 28
Pattern: [1104, 1988] count: 28
Pattern: [1571, 3580] count: 28
Pattern: [2390, 5128] count: 28
Pattern: [2624, 2875] count: 28
Pattern: [3530, 4685] count: 28
Pattern: [5052, 5125] count: 28
Pattern: [5435, 8915] count: 28
Pattern: [24, 605] count: 27
Pattern: [37, 38] count: 27
Pattern: [40, 118] count: 27
Pattern: [40, 650] count: 27
Pattern: [40, 12952] count: 27
Pattern: [42, 1601] count: 27
Pattern: [46, 250] count: 27
Pattern: [49, 111] count: 27
Pattern: [49, 157] count: 27
Pattern: [61, 256] count: 27
Pattern: [79, 1815] count: 27
Pattern: [238, 439] count: 27
Pattern: [250, 1044] count: 27
Pattern: [315, 316] count: 27
Pattern: [349, 353] count: 27
Pattern: [352, 406] count: 27
Pattern: [409, 705] count: 27
Pattern: [414, 790] count: 27
Pattern: [465, 593] count: 27
Pattern: [735, 1957] count: 27
Pattern: [742, 745] count: 27
Pattern: [767, 948] count: 27
Pattern: [813, 1005] count: 27
Pattern: [866, 1586] count: 27
Pattern: [977, 1250] count: 27
Pattern: [1046, 1047] count: 27
Pattern: [1067, 2178] count: 27
Pattern: [1105, 2098] count: 27
Pattern: [1531, 1543] count: 27
Pattern: [1605, 5951] count: 27
Pattern: [1620, 2793] count: 27
Pattern: [1865, 1866] count: 27
Pattern: [1900, 2764] count: 27
Pattern: [1960, 5903] count: 27
Pattern: [2426, 4662] count: 27
Pattern: [2748, 3908] count: 27
Pattern: [4394, 4425] count: 27
Pattern: [8731, 16218] count: 27
Pattern: [12926, 12930] count: 27
Pattern: [12926, 12952] count: 27
Pattern: [12930, 14099] count: 27
Pattern: [19, 33] count: 26
Pattern: [19, 15833] count: 26
Pattern: [39, 3815] count: 26
Pattern: [40, 2047] count: 26
Pattern: [42, 2959] count: 26
